List of lists of tuples;Tasks#;Workers#;Jobs#;Sch.FCFS;FCFS.ImpTime;Sch.MRR;MMR.ImpTime;Sch.JSP;JSP.time
[[(3,3),(0,1),(3,4)],[(3,4),(0,1),(3,2),(0,2)],[(2,4),(1,3),(2,2),(1,3)],[(2,4),(1,4),(2,1)],[(0,2),(3,3),(0,3),(3,1)],[(1,1),(2,3),(1,3),(2,4)]];22;4;6;58;4625;19;15375;18;3217875
[[(3,3),(0,2),(3,3),(0,2)],[(0,1),(3,3),(0,3),(3,3)],[(0,3),(3,3),(0,1)],[(2,4),(1,1),(2,1),(1,3)],[(1,2),(2,3),(1,2),(2,4)],[(1,2),(2,3),(1,4)]];22;4;6;56;16125;17;13000;16;3374375
[[(1,2),(3,1),(1,3),(3,2)],[(0,1),(2,1),(0,2),(2,3)],[(1,4),(3,1),(1,3)],[(3,1),(1,4),(3,4),(1,1)],[(0,1),(2,1),(0,3)],[(2,2),(0,1),(2,3),(0,1)]];22;4;6;45;4292;17;12208;17;3365500
[[(3,3),(1,1),(3,2)],[(2,3),(0,3),(2,2)],[(0,1),(2,4),(0,3),(2,3)],[(1,4),(3,3),(1,4),(3,2)],[(3,4),(1,4),(3,2),(1,2)],[(2,4),(0,4),(2,4),(0,2)]];22;4;6;64;9583;20;8500;20;3213125
[[(2,3),(0,4),(2,1),(0,1)],[(1,3),(3,3),(1,3)],[(0,1),(2,2),(0,3),(2,1)],[(1,3),(3,4),(1,2),(3,3)],[(3,3),(1,1),(3,1),(1,2)],[(0,2),(2,3),(0,3)]];22;4;6;52;4125;15;14917;14;2964666
[[(3,1),(2,2),(3,1),(2,3)],[(0,2),(1,3),(0,3)],[(1,1),(0,3),(1,4),(0,1)],[(2,1),(3,3),(2,2),(3,2)],[(0,2),(1,4),(0,1),(1,3)],[(2,2),(3,2),(2,4)]];22;4;6;50;13542;16;8708;16;3118417
[[(1,1),(0,4),(1,2),(0,1)],[(2,1),(3,2),(2,2),(3,1)],[(0,1),(1,1),(0,1),(1,3)],[(3,3),(2,1),(3,3)],[(0,1),(1,1),(0,3)],[(3,4),(2,4),(3,3),(2,4)]];22;4;6;47;4208;19;11625;16;3209125
[[(3,1),(1,2),(3,2),(1,2)],[(2,4),(0,2),(2,3),(0,1)],[(1,1),(3,4),(1,1),(3,4)],[(3,1),(1,4),(3,2)],[(2,1),(0,3),(2,1)],[(0,1),(2,3),(0,4),(2,2)]];22;4;6;49;7625;15;13125;14;3165167
[[(1,3),(2,2),(1,2),(2,2)],[(2,4),(1,2),(2,1)],[(3,4),(0,2),(3,1),(0,2)],[(3,4),(0,2),(3,1)],[(0,1),(3,4),(0,2),(3,4)],[(2,1),(1,2),(2,1),(1,4)]];22;4;6;51;4291;18;15041;18;3161000
[[(2,1),(0,1),(2,3),(0,1)],[(3,4),(1,3),(3,2),(1,1)],[(0,3),(2,2),(0,2),(2,3)],[(1,1),(3,4),(1,1)],[(1,4),(3,1),(1,4),(3,1)],[(2,3),(0,4),(2,2)]];22;4;6;51;13208;14;8708;14;3049334
[[(1,2),(0,4),(1,2)],[(3,2),(2,2),(3,1),(2,2)],[(2,4),(3,4),(2,1),(3,1)],[(2,3),(3,3),(2,1)],[(1,2),(0,1),(1,3),(0,2)],[(0,1),(1,3),(0,4),(1,3)]];22;4;6;51;4041;15;11042;15;3108875
[[(0,2),(3,1),(0,2),(3,1)],[(3,3),(0,3),(3,3),(0,2)],[(2,2),(1,3),(2,1),(1,3)],[(1,1),(2,1),(1,1),(2,3)],[(3,1),(0,4),(3,3)],[(1,1),(2,4),(1,2)]];22;4;6;47;8667;14;13041;14;3315791
[[(1,2),(3,1),(1,2),(3,1)],[(0,1),(2,2),(0,3),(2,3)],[(0,1),(2,1),(0,2)],[(3,3),(1,1),(3,4),(1,1)],[(2,3),(0,2),(2,2),(0,3)],[(1,1),(3,1),(1,2)]];22;4;6;42;3416;13;11833;13;3132625
[[(3,1),(0,4),(3,1),(0,4)],[(2,1),(1,4),(2,1),(1,4)],[(1,3),(2,2),(1,1)],[(1,3),(2,3),(1,4),(2,4)],[(0,4),(3,4),(0,1)],[(0,4),(3,2),(0,3),(3,4)]];22;4;6;62;16750;20;9958;20;3333334
[[(0,3),(3,4),(0,2),(3,4)],[(2,2),(1,4),(2,2)],[(0,2),(3,4),(0,4)],[(1,3),(2,4),(1,2),(2,1)],[(3,4),(0,4),(3,1),(0,3)],[(2,1),(1,1),(2,3),(1,4)]];22;4;6;62;3875;19;14958;18;3262750
[[(0,4),(2,3),(0,1),(2,1)],[(1,4),(3,2),(1,3),(3,3)],[(0,1),(2,1),(0,3)],[(1,1),(3,3),(1,4)],[(3,1),(1,1),(3,1),(1,3)],[(2,2),(0,1),(2,1),(0,4)]];22;4;6;48;3584;16;10833;16;3124375
[[(0,4),(2,2),(0,1),(2,2)],[(3,2),(1,4),(3,3),(1,4)],[(2,2),(0,1),(2,3),(0,4)],[(2,1),(0,1),(2,1)],[(1,3),(3,2),(1,1),(3,2)],[(3,3),(1,2),(3,4)]];22;4;6;52;4208;16;14000;16;3200583
[[(0,2),(1,1),(0,1)],[(3,3),(2,2),(3,3)],[(0,1),(1,1),(0,4),(1,3)],[(3,4),(2,3),(3,1),(2,3)],[(1,3),(0,3),(1,2),(0,2)],[(2,3),(3,1),(2,1),(3,1)]];22;4;6;48;3375;15;13084;13;3302791
[[(2,4),(1,4),(2,2)],[(1,3),(2,1),(1,4),(2,4)],[(3,2),(0,3),(3,1)],[(2,4),(1,3),(2,1),(1,1)],[(3,4),(0,1),(3,3),(0,2)],[(0,2),(3,1),(0,4),(3,1)]];22;4;6;55;7667;19;13583;17;3258792
[[(0,4),(1,2),(0,4)],[(1,1),(0,2),(1,3),(0,3)],[(3,3),(2,4),(3,1),(2,1)],[(2,2),(3,1),(2,2),(3,3)],[(3,2),(2,3),(3,4)],[(0,4),(1,3),(0,2),(1,1)]];22;4;6;55;3709;19;13000;19;3097458
[[(1,3),(0,3),(1,1),(0,1)],[(3,2),(2,4),(3,3),(2,1)],[(0,1),(1,3),(0,2),(1,2)],[(2,3),(3,4),(2,1)],[(2,1),(3,3),(2,1),(3,3)],[(1,4),(0,4),(1,4)]];22;4;6;54;10584;17;9042;17;3236583
[[(0,4),(2,2),(0,3),(2,2)],[(0,1),(2,1),(0,4)],[(2,2),(0,1),(2,3),(0,2)],[(1,1),(3,2),(1,1),(3,4)],[(3,1),(1,4),(3,4),(1,1)],[(1,2),(3,1),(1,4)]];22;4;6;50;3333;15;14125;15;3204083
[[(2,4),(3,4),(2,4),(3,1)],[(0,2),(1,2),(0,3),(1,3)],[(2,1),(3,2),(2,2)],[(1,2),(0,2),(1,3),(0,1)],[(3,1),(2,4),(3,1),(2,4)],[(1,4),(0,1),(1,1)]];22;4;6;52;7583;19;8250;19;3124625
[[(2,3),(3,3),(2,3),(3,3)],[(0,2),(1,2),(0,4),(1,3)],[(2,4),(3,1),(2,4)],[(1,3),(0,4),(1,1),(0,1)],[(3,1),(2,1),(3,1),(2,1)],[(0,1),(1,1),(0,2)]];22;4;6;49;4125;16;15667;16;3261125
[[(1,2),(0,1),(1,1)],[(2,4),(3,1),(2,2),(3,4)],[(3,4),(2,4),(3,1)],[(1,1),(0,3),(1,2),(0,1)],[(0,3),(1,4),(0,4),(1,2)],[(3,4),(2,2),(3,3),(2,1)]];22;4;6;54;7292;17;13083;17;3136458
[[(3,3),(0,3),(3,2),(0,3)],[(0,1),(3,2),(0,3)],[(2,1),(1,1),(2,3)],[(1,1),(2,1),(1,3),(2,2)],[(0,4),(3,3),(0,4),(3,1)],[(2,4),(1,2),(2,2),(1,3)]];22;4;6;52;4042;18;23167;18;3243750
[[(0,2),(2,3),(0,1)],[(1,4),(3,2),(1,3),(3,2)],[(2,4),(0,2),(2,3),(0,1)],[(3,4),(1,4),(3,3),(1,3)],[(0,2),(2,3),(0,2),(2,4)],[(1,3),(3,1),(1,3)]];22;4;6;59;3250;20;12083;20;3257750
[[(1,4),(2,4),(1,3)],[(0,1),(3,1),(0,1)],[(0,3),(3,2),(0,2),(3,1)],[(2,4),(1,4),(2,4),(1,1)],[(3,1),(0,1),(3,4),(0,4)],[(1,3),(2,2),(1,2),(2,1)]];22;4;6;53;3000;17;14584;17;3224917
[[(3,3),(2,3),(3,1),(2,3)],[(0,4),(1,2),(0,4)],[(0,3),(1,1),(0,4),(1,2)],[(3,2),(2,3),(3,1)],[(2,2),(3,1),(2,2),(3,2)],[(1,4),(0,2),(1,3),(0,2)]];22;4;6;54;4959;19;16584;19;3172958
[[(0,1),(3,4),(0,4),(3,4)],[(2,3),(1,1),(2,4),(1,3)],[(0,2),(3,4),(0,2)],[(1,3),(2,3),(1,4),(2,3)],[(3,3),(0,3),(3,1),(0,3)],[(1,1),(2,1),(1,1)]];22;4;6;58;3375;16;11583;16;3205292
[[(2,4),(1,3),(2,4),(1,4)],[(3,2),(0,3),(3,2),(0,3)],[(1,1),(2,3),(1,2),(2,3)],[(1,1),(2,2),(1,2)],[(3,3),(0,3),(3,1)],[(0,2),(3,3),(0,1),(3,3)]];22;4;6;55;3041;17;11791;17;3176417
[[(3,1),(2,2),(3,2)],[(3,4),(2,3),(3,2),(2,2)],[(2,4),(3,4),(2,4),(3,3)],[(1,4),(0,3),(1,3),(0,4)],[(0,4),(1,1),(0,2),(1,4)],[(1,4),(0,4),(1,3)]];22;4;6;67;8459;19;10833;19;3186708
[[(0,1),(1,3),(0,3),(1,3)],[(3,3),(2,3),(3,1),(2,1)],[(0,1),(1,3),(0,1)],[(1,3),(0,2),(1,4),(0,4)],[(2,3),(3,2),(2,1)],[(2,3),(3,4),(2,4),(3,3)]];22;4;6;56;3334;17;12458;16;3405583
[[(1,1),(2,2),(1,2),(2,1)],[(1,1),(2,3),(1,1)],[(0,1),(3,3),(0,4),(3,3)],[(3,4),(0,2),(3,1)],[(2,2),(1,1),(2,4),(1,3)],[(3,1),(0,3),(3,1),(0,2)]];22;4;6;46;3709;16;8667;13;3428333
[[(1,4),(2,2),(1,1)],[(0,1),(3,4),(0,2),(3,4)],[(0,1),(3,4),(0,2)],[(1,4),(2,2),(1,4),(2,4)],[(2,3),(1,1),(2,3),(1,2)],[(3,4),(0,4),(3,2),(0,2)]];22;4;6;60;4542;18;13709;18;3330750
[[(1,3),(2,3),(1,3)],[(0,4),(3,2),(0,4)],[(3,4),(0,1),(3,3),(0,4)],[(1,3),(2,4),(1,2),(2,4)],[(2,3),(1,4),(2,2),(1,4)],[(0,3),(3,3),(0,1),(3,4)]];22;4;6;68;5041;19;13125;19;3151625
[[(0,3),(2,1),(0,3)],[(3,3),(1,4),(3,3),(1,3)],[(1,2),(3,3),(1,4),(3,4)],[(2,2),(0,1),(2,4),(0,2)],[(0,1),(2,2),(0,2),(2,3)],[(1,2),(3,4),(1,2)]];22;4;6;58;4333;17;17084;17;3053667
[[(2,1),(1,2),(2,4),(1,3)],[(1,2),(2,2),(1,4),(2,2)],[(3,1),(0,1),(3,1),(0,4)],[(3,1),(0,1),(3,1)],[(0,4),(3,4),(0,4),(3,2)],[(1,4),(2,2),(1,3)]];22;4;6;53;3666;18;11458;18;3309458
[[(0,3),(3,1),(0,3),(3,2)],[(1,2),(2,1),(1,1),(2,2)],[(2,3),(1,2),(2,1),(1,4)],[(3,2),(0,3),(3,3)],[(1,2),(2,2),(1,2)],[(3,2),(0,4),(3,4),(0,3)]];22;4;6;52;9083;17;14083;16;3329583
[[(1,2),(0,2),(1,3),(0,1)],[(3,2),(2,3),(3,1),(2,1)],[(0,1),(1,1),(0,4),(1,1)],[(2,2),(3,1),(2,3)],[(1,4),(0,1),(1,4)],[(2,4),(3,4),(2,1),(3,3)]];22;4;6;49;4291;16;12375;15;3321833
[[(3,2),(1,4),(3,3),(1,1)],[(0,4),(2,3),(0,1),(2,3)],[(2,2),(0,4),(2,1),(0,1)],[(1,1),(3,2),(1,2)],[(2,2),(0,1),(2,3)],[(1,3),(3,2),(1,4),(3,3)]];22;4;6;52;3958;17;13916;15;2921041
[[(2,3),(3,2),(2,3),(3,3)],[(0,2),(1,3),(0,2),(1,2)],[(1,4),(0,4),(1,2),(0,4)],[(1,2),(0,2),(1,2)],[(3,3),(2,4),(3,2)],[(3,2),(2,3),(3,3),(2,1)]];22;4;6;58;4042;16;10875;16;3254083
[[(0,2),(1,2),(0,1),(1,2)],[(2,4),(3,4),(2,1),(3,4)],[(0,4),(1,2),(0,4)],[(3,4),(2,3),(3,1),(2,3)],[(3,3),(2,1),(3,3)],[(1,3),(0,1),(1,4),(0,3)]];22;4;6;59;7667;19;11667;19;3306792
[[(3,3),(0,4),(3,2)],[(2,3),(1,1),(2,3),(1,1)],[(0,1),(3,1),(0,1),(3,3)],[(2,2),(1,4),(2,3)],[(1,3),(2,4),(1,1),(2,2)],[(3,3),(0,3),(3,4),(0,1)]];22;4;6;53;8041;17;14125;17;3100667
[[(1,3),(3,2),(1,1),(3,1)],[(3,1),(1,4),(3,3),(1,3)],[(3,1),(1,3),(3,4)],[(2,2),(0,4),(2,1),(0,4)],[(2,1),(0,4),(2,2)],[(0,3),(2,4),(0,1),(2,2)]];22;4;6;54;9375;16;12791;16;3110458
[[(0,4),(2,4),(0,1),(2,3)],[(1,1),(3,1),(1,1),(3,1)],[(2,4),(0,2),(2,4),(0,2)],[(3,4),(1,4),(3,3),(1,2)],[(3,4),(1,4),(3,2)],[(2,3),(0,1),(2,1)]];22;4;6;56;3250;19;23917;19;3099667
[[(0,1),(2,1),(0,2),(2,1)],[(1,4),(3,1),(1,2),(3,2)],[(3,1),(1,1),(3,3)],[(3,2),(1,4),(3,3),(1,3)],[(2,1),(0,2),(2,3),(0,4)],[(2,1),(0,4),(2,1)]];22;4;6;47;10500;15;8875;15;3136583
[[(3,2),(2,1),(3,3),(2,4)],[(0,2),(1,3),(0,3),(1,4)],[(1,1),(0,1),(1,4),(0,1)],[(2,4),(3,3),(2,1),(3,4)],[(2,3),(3,3),(2,1)],[(0,1),(1,1),(0,1)]];22;4;6;51;3250;17;12458;17;3097958
[[(0,4),(2,4),(0,3),(2,3)],[(2,1),(0,4),(2,4),(0,2)],[(1,3),(3,3),(1,4),(3,4)],[(1,2),(3,3),(1,1)],[(2,2),(0,1),(2,1)],[(3,3),(1,3),(3,1),(1,3)]];22;4;6;59;10500;16;13792;16;3172084
[[(2,2),(1,3),(2,4)],[(2,3),(1,3),(2,2),(1,2)],[(0,1),(3,3),(0,2),(3,1)],[(0,4),(3,1),(0,3)],[(1,3),(2,1),(1,4),(2,3)],[(3,2),(0,3),(3,3),(0,2)]];22;4;6;55;3500;16;11834;16;3338959
[[(3,1),(2,2),(3,2)],[(3,3),(2,4),(3,2),(2,2)],[(0,4),(1,3),(0,1)],[(2,1),(3,1),(2,3),(3,3)],[(1,4),(0,1),(1,4),(0,3)],[(0,3),(1,1),(0,2),(1,4)]];22;4;6;54;7500;16;8834;16;3165083
[[(0,1),(2,2),(0,2),(2,2)],[(1,4),(3,3),(1,2)],[(1,4),(3,3),(1,3),(3,3)],[(2,4),(0,3),(2,4),(0,2)],[(2,4),(0,1),(2,2)],[(3,4),(1,2),(3,2),(1,4)]];22;4;6;61;3625;19;12417;19;3412167
[[(3,3),(2,1),(3,1),(2,2)],[(1,3),(0,1),(1,3),(0,1)],[(2,3),(3,4),(2,1)],[(0,1),(1,1),(0,1)],[(0,2),(1,1),(0,2),(1,4)],[(2,1),(3,4),(2,3),(3,4)]];22;4;6;47;8875;18;10125;16;3061500
[[(2,4),(3,4),(2,4)],[(0,4),(1,4),(0,4),(1,4)],[(3,4),(2,4),(3,3),(2,1)],[(1,3),(0,4),(1,2),(0,4)],[(1,1),(0,4),(1,4)],[(2,1),(3,4),(2,1),(3,2)]];22;4;6;70;4375;20;16500;20;3179750
[[(2,3),(0,2),(2,1),(0,3)],[(3,1),(1,3),(3,1)],[(2,4),(0,4),(2,2)],[(0,2),(2,4),(0,4),(2,2)],[(3,3),(1,4),(3,4),(1,4)],[(1,3),(3,3),(1,4),(3,2)]];22;4;6;63;8416;18;9500;18;3314417
[[(2,4),(3,2),(2,3),(3,1)],[(3,3),(2,3),(3,3)],[(3,3),(2,4),(3,3),(2,2)],[(1,3),(0,4),(1,4),(0,3)],[(0,2),(1,4),(0,4),(1,4)],[(0,4),(1,4),(0,1)]];22;4;6;68;3583;19;10333;19;3074083
[[(3,1),(1,3),(3,1)],[(3,2),(1,4),(3,4),(1,4)],[(1,1),(3,3),(1,3),(3,3)],[(0,3),(2,2),(0,3),(2,4)],[(2,2),(0,2),(2,4),(0,4)],[(0,1),(2,1),(0,1)]];22;4;6;56;7458;16;9042;16;3064750
[[(1,4),(2,1),(1,4),(2,1)],[(3,4),(0,4),(3,2),(0,1)],[(2,2),(1,3),(2,4),(1,4)],[(2,2),(1,4),(2,1)],[(0,4),(3,3),(0,1),(3,3)],[(3,2),(0,2),(3,4)]];22;4;6;60;4125;19;14416;19;3209875
[[(1,2),(3,1),(1,4)],[(3,3),(1,3),(3,2),(1,4)],[(2,1),(0,4),(2,3),(0,2)],[(0,3),(2,3),(0,2),(2,3)],[(2,2),(0,2),(2,3)],[(1,1),(3,3),(1,3),(3,2)]];22;4;6;56;13291;17;17541;17;3340000
[[(1,3),(0,2),(1,3),(0,2)],[(3,4),(2,1),(3,2)],[(1,2),(0,1),(1,3)],[(3,3),(2,1),(3,4),(2,1)],[(2,3),(3,4),(2,1),(3,4)],[(0,3),(1,1),(0,3),(1,4)]];22;4;6;55;4667;21;14708;21;3532250
[[(0,4),(2,3),(0,3),(2,2)],[(3,1),(1,4),(3,4),(1,1)],[(2,3),(0,4),(2,2),(0,1)],[(1,3),(3,3),(1,1),(3,4)],[(1,4),(3,1),(1,4)],[(0,4),(2,1),(0,3)]];22;4;6;60;10792;19;8833;19;3250416
[[(0,3),(3,4),(0,3),(3,1)],[(2,2),(1,2),(2,3)],[(1,1),(2,1),(1,2),(2,4)],[(0,3),(3,3),(0,4)],[(2,1),(1,3),(2,4),(1,1)],[(3,4),(0,2),(3,3),(0,3)]];22;4;6;57;5042;18;15917;18;3333292
[[(1,4),(3,4),(1,2),(3,3)],[(0,4),(2,2),(0,2),(2,1)],[(0,3),(2,4),(0,2)],[(3,2),(1,4),(3,2),(1,1)],[(2,3),(0,2),(2,4),(0,4)],[(3,1),(1,4),(3,2)]];22;4;6;60;9291;19;11042;17;3206792
[[(3,2),(0,2),(3,3),(0,3)],[(2,2),(1,3),(2,2)],[(2,1),(1,1),(2,2),(1,3)],[(1,3),(2,1),(1,1),(2,1)],[(0,2),(3,3),(0,1)],[(0,3),(3,4),(0,2),(3,4)]];22;4;6;49;5042;16;14667;16;3431417
[[(2,2),(0,1),(2,2),(0,3)],[(1,3),(3,1),(1,4),(3,2)],[(1,1),(3,1),(1,2)],[(2,2),(0,1),(2,4)],[(0,1),(2,4),(0,1),(2,1)],[(3,1),(1,3),(3,2),(1,4)]];22;4;6;46;8500;17;9500;17;3346875
[[(3,2),(2,4),(3,4),(2,3)],[(2,1),(3,3),(2,1),(3,1)],[(1,1),(0,4),(1,1),(0,2)],[(1,2),(0,2),(1,1)],[(0,2),(1,4),(0,1),(1,2)],[(2,2),(3,1),(2,3)]];22;4;6;47;4209;14;16666;14;3431542
[[(2,4),(3,4),(2,4),(3,4)],[(1,1),(0,4),(1,4),(0,3)],[(3,1),(2,1),(3,4),(2,4)],[(2,1),(3,3),(2,4)],[(0,1),(1,4),(0,4),(1,1)],[(1,4),(0,1),(1,3)]];22;4;6;64;10417;20;13708;18;3520750
[[(0,2),(2,4),(0,3),(2,2)],[(1,2),(3,3),(1,3),(3,4)],[(2,1),(0,1),(2,1)],[(2,4),(0,2),(2,1),(0,2)],[(3,2),(1,4),(3,2),(1,3)],[(1,4),(3,3),(1,1)]];22;4;6;54;3709;17;12458;17;3165959
[[(2,1),(1,1),(2,3),(1,4)],[(0,3),(3,4),(0,2)],[(2,2),(1,2),(2,4)],[(3,3),(0,1),(3,4),(0,4)],[(0,2),(3,1),(0,1),(3,2)],[(1,3),(2,3),(1,2),(2,2)]];22;4;6;54;15708;16;9000;15;3277791
[[(3,2),(0,3),(3,2),(0,2)],[(3,1),(0,2),(3,4)],[(2,2),(1,3),(2,4),(1,1)],[(2,3),(1,3),(2,2)],[(0,2),(3,3),(0,3),(3,3)],[(1,1),(2,2),(1,1),(2,1)]];22;4;6;50;4167;15;12416;15;2943167
[[(1,2),(0,2),(1,4),(0,1)],[(3,2),(2,2),(3,4),(2,4)],[(2,3),(3,3),(2,3)],[(1,2),(0,4),(1,1)],[(2,4),(3,1),(2,3),(3,4)],[(0,4),(1,2),(0,2),(1,4)]];22;4;6;61;3792;19;15791;19;3088334
[[(1,1),(0,3),(1,4),(0,3)],[(0,4),(1,1),(0,2),(1,2)],[(3,3),(2,1),(3,3)],[(3,1),(2,2),(3,4),(2,2)],[(2,2),(3,2),(2,3),(3,3)],[(1,4),(0,1),(1,4)]];22;4;6;55;4042;17;12666;16;3277833
[[(0,2),(2,3),(0,3),(2,2)],[(2,2),(0,3),(2,1),(0,2)],[(2,1),(0,4),(2,4)],[(3,1),(1,1),(3,4),(1,1)],[(1,3),(3,3),(1,1),(3,4)],[(3,3),(1,4),(3,3)]];22;4;6;55;4041;18;16125;18;3250375
[[(1,2),(0,2),(1,3),(0,3)],[(2,3),(3,4),(2,4),(3,2)],[(3,1),(2,1),(3,3)],[(0,4),(1,1),(0,2),(1,4)],[(1,4),(0,4),(1,2)],[(3,4),(2,4),(3,4),(2,3)]];22;4;6;64;4750;19;12208;18;3239625
[[(3,3),(1,4),(3,3),(1,1)],[(1,2),(3,4),(1,3)],[(0,4),(2,4),(0,2),(2,1)],[(1,3),(3,3),(1,2),(3,4)],[(2,1),(0,3),(2,3)],[(2,1),(0,3),(2,4),(0,3)]];22;4;6;61;3833;18;22000;17;3188042
[[(2,3),(1,1),(2,2),(1,4)],[(0,2),(3,3),(0,4),(3,1)],[(3,3),(0,2),(3,2),(0,2)],[(3,1),(0,1),(3,2)],[(1,1),(2,3),(1,3),(2,1)],[(1,4),(2,2),(1,4)]];22;4;6;51;3875;17;9167;17;3084125
[[(2,1),(0,3),(2,4)],[(0,3),(2,3),(0,1),(2,1)],[(3,1),(1,3),(3,1)],[(3,1),(1,1),(3,2),(1,2)],[(2,1),(0,3),(2,4),(0,2)],[(1,3),(3,1),(1,4),(3,2)]];22;4;6;47;4875;16;16208;15;3201209
[[(1,3),(3,2),(1,1),(3,3)],[(3,1),(1,2),(3,1),(1,1)],[(2,3),(0,4),(2,1),(0,2)],[(0,4),(2,3),(0,2),(2,1)],[(1,3),(3,4),(1,1)],[(2,1),(0,2),(2,2)]];22;4;6;47;3416;14;8750;14;3215042
[[(1,2),(3,2),(1,4),(3,3)],[(0,3),(2,2),(0,2),(2,2)],[(0,4),(2,3),(0,3)],[(1,2),(3,2),(1,1)],[(3,1),(1,2),(3,2),(1,2)],[(2,3),(0,3),(2,2),(0,1)]];22;4;6;51;4083;16;21250;16;3602083
[[(3,4),(2,4),(3,2)],[(1,4),(0,2),(1,4),(0,3)],[(3,4),(2,1),(3,1),(2,3)],[(2,3),(3,3),(2,1),(3,2)],[(0,2),(1,2),(0,2)],[(0,2),(1,3),(0,3),(1,4)]];22;4;6;59;3292;17;8167;17;3294541
[[(1,2),(0,2),(1,3),(0,2)],[(1,2),(0,3),(1,2)],[(2,4),(3,4),(2,1)],[(0,1),(1,3),(0,2),(1,2)],[(2,2),(3,2),(2,2),(3,3)],[(3,4),(2,1),(3,4),(2,3)]];22;4;6;54;3500;17;16208;17;3256291
[[(3,1),(0,2),(3,2),(0,3)],[(0,4),(3,2),(0,4),(3,1)],[(1,4),(2,4),(1,4)],[(0,1),(3,2),(0,1)],[(1,1),(2,3),(1,4),(2,1)],[(2,1),(1,3),(2,4),(1,3)]];22;4;6;55;3333;19;8250;19;3192125
[[(0,3),(2,3),(0,2)],[(3,4),(1,2),(3,2)],[(0,4),(2,1),(0,4),(2,4)],[(3,1),(1,3),(3,3),(1,3)],[(1,2),(3,1),(1,1),(3,3)],[(2,4),(0,2),(2,3),(0,4)]];22;4;6;59;3583;19;11500;19;2968416
[[(0,3),(3,1),(0,4),(3,4)],[(1,1),(2,4),(1,3),(2,2)],[(2,3),(1,2),(2,2),(1,4)],[(3,4),(0,4),(3,1),(0,4)],[(0,2),(3,4),(0,4)],[(2,3),(1,1),(2,1)]];22;4;6;61;4000;21;9208;21;3438833
[[(1,2),(2,2),(1,4),(2,1)],[(3,4),(0,4),(3,3),(0,4)],[(2,3),(1,3),(2,4),(1,3)],[(0,4),(3,3),(0,4),(3,4)],[(3,2),(0,1),(3,3)],[(1,2),(2,1),(1,2)]];22;4;6;63;3584;19;15917;19;3479084
[[(0,1),(3,1),(0,1),(3,3)],[(3,2),(0,2),(3,2)],[(1,2),(2,1),(1,3)],[(2,3),(1,3),(2,3),(1,4)],[(1,3),(2,2),(1,3),(2,4)],[(3,4),(0,4),(3,4),(0,4)]];22;4;6;59;4959;18;14250;18;3284333
[[(2,4),(3,4),(2,1),(3,1)],[(1,2),(0,4),(1,4),(0,3)],[(0,1),(1,4),(0,1),(1,2)],[(1,4),(0,2),(1,2)],[(3,3),(2,2),(3,4),(2,1)],[(3,3),(2,1),(3,1)]];22;4;6;54;3916;18;13541;18;3240250
[[(3,4),(0,2),(3,2),(0,1)],[(3,2),(0,1),(3,1)],[(0,3),(3,1),(0,1),(3,1)],[(1,3),(2,1),(1,2),(2,3)],[(2,3),(1,3),(2,4),(1,1)],[(2,4),(1,3),(2,4)]];22;4;6;50;10208;19;9458;19;3116917
[[(0,1),(2,1),(0,2),(2,3)],[(2,2),(0,3),(2,1)],[(3,3),(1,1),(3,3),(1,4)],[(2,4),(0,2),(2,1),(0,1)],[(3,3),(1,2),(3,2)],[(1,3),(3,4),(1,4),(3,4)]];22;4;6;54;4208;19;12291;19;3263166
[[(0,4),(3,4),(0,2),(3,4)],[(1,3),(2,3),(1,2)],[(1,1),(2,4),(1,3),(2,1)],[(3,1),(0,4),(3,4)],[(3,4),(0,4),(3,2),(0,4)],[(2,4),(1,3),(2,3),(1,1)]];22;4;6;65;46125;19;9250;19;2912458
[[(3,2),(0,2),(3,3),(0,2)],[(2,1),(1,2),(2,3),(1,1)],[(1,1),(2,2),(1,1)],[(1,3),(2,4),(1,2),(2,4)],[(0,2),(3,3),(0,1),(3,3)],[(0,4),(3,1),(0,1)]];22;4;6;48;3209;15;15042;15;3189750
[[(0,2),(1,2),(0,2),(1,2)],[(1,2),(0,2),(1,2),(0,4)],[(2,1),(3,3),(2,2),(3,3)],[(3,2),(2,2),(3,1)],[(1,2),(0,3),(1,2)],[(3,1),(2,3),(3,2),(2,1)]];22;4;6;46;8292;13;8250;13;3213916
[[(3,1),(2,3),(3,3),(2,3)],[(0,3),(1,1),(0,1),(1,3)],[(0,2),(1,2),(0,3)],[(2,1),(3,2),(2,4)],[(1,2),(0,1),(1,1),(0,1)],[(2,3),(3,3),(2,2),(3,2)]];22;4;6;47;4125;16;11250;16;3258917
[[(0,2),(3,3),(0,3),(3,3)],[(1,2),(2,3),(1,2),(2,1)],[(3,4),(0,2),(3,1),(0,1)],[(2,2),(1,3),(2,4)],[(0,3),(3,4),(0,3)],[(2,3),(1,1),(2,4),(1,3)]];22;4;6;57;7875;19;9333;17;3144792
[[(2,4),(1,1),(2,4),(1,1)],[(3,4),(0,4),(3,4)],[(1,3),(2,2),(1,1),(2,2)],[(1,3),(2,3),(1,2)],[(3,3),(0,2),(3,2),(0,1)],[(0,4),(3,2),(0,2),(3,2)]];22;4;6;56;3167;17;9791;17;3045667
